,Date,BTC-USD,LTC-USD,NMC-USD,DOGE-USD,XRP-USD,DASH-USD,XMR-USD,XVG-USD,XLM-USD
131,2015-05-11,19282600.0,723296.0,3322.0,426389.0,973166.0,44614.0,27612.0,1244.0,16605.0
132,2015-05-12,27180100.0,1913000.0,3569.0,166226.0,897919.0,36403.0,22340.0,1276.0,7557.0
133,2015-05-13,24413700.0,1078360.0,3215.0,198466.0,622577.0,81538.0,24386.0,1101.0,8935.0
134,2015-05-14,16329400.0,691297.0,2911.0,152626.0,243151.0,75968.0,36937.0,110.0,6608.0
135,2015-05-15,11089700.0,757344.0,7056.0,86112.0,63602.0,74901.0,48492.0,392.0,6243.0
136,2015-05-16,11134300.0,481714.0,4838.0,62533.0,350731.0,52827.0,38552.0,172.0,9992.0
137,2015-05-17,16780300.0,630744.0,4340.0,61269.0,1185930.0,42345.0,66440.0,1840.0,9633.0
138,2015-05-18,14241900.0,516737.0,28634.0,189787.0,952584.0,34282.0,64157.0,2711.0,46705.0
139,2015-05-19,15499400.0,892369.0,14097.0,281954.0,465374.0,48146.0,62290.0,245.0,33006.0
140,2015-05-20,15108900.0,1109240.0,11854.0,146125.0,182022.0,37087.0,110387.0,205.0,10161.0
141,2015-05-21,27003000.0,5017600.0,17601.0,268833.0,314421.0,108165.0,52852.0,1351.0,45598.0
142,2015-05-22,14605000.0,2701800.0,12855.0,382628.0,298160.0,90345.0,28017.0,108.0,42823.0
143,2015-05-23,11508000.0,1725070.0,10721.0,239172.0,149015.0,49767.0,12799.0,1624.0,25015.0
144,2015-05-24,14423900.0,1457180.0,27012.0,211573.0,315919.0,55790.0,28042.0,1303.0,44799.0
145,2015-05-25,16425000.0,1381530.0,4092.0,436420.0,503514.0,133789.0,32411.0,684.0,10087.0
146,2015-05-26,18837000.0,1675280.0,7037.0,949606.0,536465.0,59342.0,44220.0,917.0,21904.0
147,2015-05-27,13829600.0,1301610.0,3979.0,918951.0,1242990.0,69233.0,29630.0,2901.0,116009.0
148,2015-05-28,14805000.0,1762870.0,7718.0,745818.0,1949750.0,48749.0,29580.0,559.0,164867.0
149,2015-05-29,14098600.0,1327450.0,1638.0,506717.0,487228.0,36938.0,16705.0,1627.0,70294.0
150,2015-05-30,14730800.0,2071950.0,17201.0,332522.0,248303.0,57640.0,44096.0,408.0,34077.0
151,2015-05-31,26090500.0,1998470.0,23567.0,349100.0,777565.0,75761.0,21924.0,96.0,20681.0
152,2015-06-01,20459000.0,1370450.0,6417.0,809592.0,506304.0,68367.0,42022.0,275.0,70139.0
153,2015-06-02,17752400.0,1162310.0,13381.0,408123.0,388480.0,76345.0,20468.0,332.0,23415.0
154,2015-06-03,14728100.0,1065250.0,14034.0,128299.0,241573.0,40277.0,27086.0,1268.0,17068.0
155,2015-06-04,18056500.0,1474750.0,1502.0,154819.0,198828.0,43312.0,33178.0,1106.0,14581.0
156,2015-06-05,11131500.0,1184500.0,4156.0,147434.0,108750.0,36093.0,61552.0,382.0,11850.0
157,2015-06-06,13318400.0,1160830.0,2317.0,104469.0,100994.0,55832.0,60901.0,463.0,8643.0
158,2015-06-07,23378400.0,1710280.0,4541.0,138182.0,227074.0,78536.0,60437.0,127.0,6534.0
159,2015-06-08,28353100.0,1480430.0,5401.0,206486.0,211828.0,83639.0,84617.0,232.0,17228.0
160,2015-06-09,15904800.0,1212820.0,1894.0,174044.0,260571.0,93836.0,18563.0,912.0,7419.0
161,2015-06-10,14416000.0,1048480.0,3203.0,121304.0,196404.0,67222.0,39601.0,719.0,18371.0
162,2015-06-11,14017700.0,963104.0,16327.0,111553.0,138738.0,107756.0,37697.0,106.0,7947.0
163,2015-06-12,13305300.0,1470540.0,17464.0,198491.0,80646.0,68398.0,38193.0,180.0,23848.0
164,2015-06-13,12165900.0,3128440.0,14445.0,300746.0,315884.0,87100.0,25286.0,839.0,26760.0
165,2015-06-14,19912100.0,1895750.0,12013.0,145367.0,658174.0,102014.0,27100.0,400.0,38841.0
166,2015-06-15,41612000.0,10053700.0,68808.0,782771.0,1523530.0,109178.0,47599.0,1243.0,104286.0
167,2015-06-16,43858400.0,13038800.0,85966.0,1467650.0,1050540.0,127588.0,35110.0,1179.0,148541.0
168,2015-06-17,30980200.0,7435550.0,93948.0,755776.0,1117100.0,80459.0,18521.0,560.0,103675.0
169,2015-06-18,23965300.0,7275770.0,58963.0,907950.0,1650080.0,76937.0,36206.0,460.0,132710.0
170,2015-06-19,20608100.0,5729100.0,38087.0,647287.0,660909.0,49018.0,46906.0,371.0,52776.0
171,2015-06-20,10600900.0,3196090.0,16963.0,345750.0,564947.0,42407.0,20026.0,697.0,25279.0
172,2015-06-21,17692500.0,3039690.0,32601.0,215505.0,623012.0,60758.0,24145.0,749.0,22128.0
173,2015-06-22,15108700.0,2332310.0,13438.0,268407.0,487296.0,32546.0,34151.0,201.0,26466.0
174,2015-06-23,17344900.0,3317430.0,48797.0,380388.0,662015.0,66207.0,30722.0,157.0,12699.0
175,2015-06-24,16133100.0,4221940.0,4893.0,314154.0,328795.0,82226.0,20286.0,163.0,27297.0
176,2015-06-25,13983500.0,2100370.0,9229.0,194843.0,344441.0,67021.0,27929.0,180.0,10574.0
177,2015-06-26,20488600.0,4570240.0,17824.0,331089.0,347201.0,117087.0,25068.0,166.0,33469.0
178,2015-06-27,15137600.0,2837150.0,17014.0,254646.0,255832.0,80605.0,35450.0,229.0,12404.0
179,2015-06-28,34742900.0,12726600.0,120509.0,374356.0,840533.0,65253.0,38116.0,1655.0,23192.0
180,2015-06-29,44533800.0,15390500.0,252952.0,470230.0,1028230.0,105757.0,20586.0,661.0,42462.0
181,2015-06-30,27029800.0,7113180.0,83177.0,385337.0,558248.0,49329.0,16986.0,206.0,13853.0
182,2015-07-01,21551900.0,6288460.0,34549.0,202676.0,404117.0,58716.0,23017.0,259.0,10950.0
183,2015-07-02,19033800.0,4281280.0,23795.0,108404.0,251150.0,65144.0,19161.0,3125.0,24472.0
184,2015-07-03,15620400.0,3939060.0,16015.0,144120.0,138329.0,134776.0,9823.0,5479.0,6970.0
